Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp,COD_out_CEPT,TN_out_CEPT,C/N ratio_CEPT,BOD removed (kg/a),SS removed (kg/a),Sludge yield by CEPT (tonne/a),CEPT electricity consumption (kWh/a),CEPT heat consumption (kWh/a),CEPT electricity recovery potential (kWh/a),CEPT heat recovery potential (kWh/a)
1084,103,9.680242,16662.0,208.55,23.39,101.16,4.34,103.79,5.67,32.03,0.29,47.1,11.43,6.52,0.24,0.41,2.214301145,AO,39.68923,117.30937,8049.47,8049.469999999999,13.00691256830601,52.1375,40.035000000000004,1.302297989259398,676504.8883194029,1110548.7126717411,4447.025622509241,5961139.873764184,113872.23229166615,926108.75,1058410.0
1085,104,15.21848,18518.77,229.87,17.92,101.82,3.25,114.15,2.86,29.72,0.8,39.67,7.96,4.8,0.21,0.26,1.226704411,AO,39.0031999,117.71071,7835.25,7835.249999999999,13.59221311,57.4675,33.719500000000004,1.7042809057073798,1070484.2316521397,1920185.03308728,7165.51951158728,6227898.385291745,178600.00123913735,1465451.08,1674801.23
1086,127,1.815792,1248.4,160.59,12.18,38.59,1.86,83.46,6.51,15.15,0.26,23.48,5.37,1.58,0.07,0.28,1.886665319,AO,38.30314,116.95942,7744.55,7744.549999999999,13.840027322404374,40.1475,19.958,2.011599358653172,48407.959971822005,167509.85599370883,793.3566148937088,791917.1133338743,19545.444507182492,66268.61,75735.55
1087,134,4.161552,6000.0,259.3,18.8,129.16,7.06,194.16,1.75,20.96,0.8,31.9,13.32,3.17,0.14,0.41,1.704781705,AO,41.3138099,117.73897,10346.94,10346.94,6.729672131147543,64.825,27.115,2.390743131108243,371329.34018296807,893122.3869919488,2327.479312891949,2571017.7758418396,76608.80303748025,508335.35,580954.69
1088,165,1.3756,140.2,70.56,21.5,21.64,6.9,81.81,7.33,10.77,0.89,22.0,10.51,1.25,0.22,0.17,3.465144721,AO,36.805822,114.414613,7236.75,7236.75,15.229562841530056,17.64,18.7,0.9433155080213904,20564.8396466,124392.57164424,598.51890414424,391271.4440828848,13778.51325767516,28152.46,32174.24
1089,183,2.669026,721.76,131.99,19.44,44.44,8.5,32.9,4.55,22.05,0.64,27.92,10.33,2.48,0.2,0.24,2.132385606,AO,40.66946,114.44691,10136.21,10136.21,7.305437158469945,32.9975,23.732,1.390422214731165,81941.28279778101,97060.96144183601,1016.9908165793361,1013864.0598800866,32792.42601747645,112174.41,128199.33
1090,212,0.395304,5.0,107.57,25.04,56.13,4.73,82.66,4.62,16.53,8.27,23.85,13.73,2.35,0.97,0.38,4.604386284,AO,39.8917999,118.89294,8692.25,8692.25,11.25068306010929,26.8925,20.2725,1.3265507460845973,15328.588125123,36117.9004289376,172.36683597893762,226895.59102157873,4766.140436498104,20984.24,23981.99
1091,325,2.7238328,546.07,89.93,18.56,22.96,4.14,150.36,6.02,8.97,0.26,12.43,8.4,2.12,0.28,0.18,2.522068096,AO,35.4914599,111.56878,8561.36,8561.36,11.608306010928963,22.4825,10.5655,2.1279163314561544,43204.425331631195,452698.0761577747,1391.5181225427746,816439.2014142554,37897.67286248215,59145.17,67594.48
1092,371,17.4122,27262.0,208.69,12.79,65.62,3.75,252.82,3.68,26.5,0.2,36.38,9.82,1.96,0.28,0.27,1.378254211,AO,37.781386,113.753494,8393.52,8393.52,12.066885245901638,52.1725,30.923000000000002,1.687174594961679,789343.0270823499,4865875.13823736,10867.316346987358,7419075.777439747,290166.5563911104,1080579.76,1234948.29
1093,384,2.932924,1827.0,315.77,27.65,92.38,8.36,111.43,13.27,36.91,2.18,48.34,12.63,4.66,0.37,0.55,1.908926836,AO,34.8346699,111.19474,7770.02,7770.02,13.770437158469944,78.9425,41.089,1.9212562973058482,187177.94339006298,361242.48940384877,1372.1297383288488,2372701.012272577,33915.50047894481,256239.29,292844.9
