Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp,Time (d),COD_eff (mg/L),COD_removal (%),NHx_eff (mg/L),NHx_removal (%),C/N_ratio_HRAS,Sludge_VSS (g/a),Sludge_TSS (g/a),Sludge_COD (g/a),Waste_flow (m3/a),Electricity recovery potential (kWh/a)_HRAS,Heat recovery potential (kWh/a)_HRAS
0,1,6.5522724,14835.97,335.97,14.49,163.98,2.39,303.27,2.81,38.28,0.28,50.44,10.26,7.43,0.16,0.61,1.897474182,A2O,40.18437,116.26667,8213.33,8213.33,12.559207650273224,2.0,74.82041886210033,77.73002980560754,35.10786723825272,8.28665820728129,2.131158191819118,1387418736.7794824,1632257337.3876264,2052900758.6099784,376568.530100256,1124136.36,1284727.27
1,2,7.2207416,6708.06,379.67,23.54,115.75,5.78,366.27,7.17,31.84,1.52,44.79,11.68,8.19,0.4,0.36,1.010866818,A2O,40.148968,116.290595,8213.33,8213.33,12.559207650273224,2.0,100.74374987079968,73.46544370879982,28.497031970405857,10.49927144973035,3.535236580968221,1540602250.8768835,1812473236.3257456,2279575765.356918,414986.417619904,1248260.05,1426582.92
2,3,1.8218736,3102.4,212.46,18.09,88.86,3.33,107.48,3.57,30.6,1.85,35.79,11.62,3.04,0.34,0.58,2.983999588,A2O,39.756206,116.45241,8213.33,8213.33,12.559207650273224,2.0,58.11686603412936,72.64573753453388,28.929595870393,5.4588370248594895,2.008906944103117,243608578.07245108,286598327.14406013,360545103.612371,104705.699289984,197428.86,225632.99
3,5,129.2938024,178452.41,538.09,12.89,217.01,1.02,306.49,2.5,38.32,0.41,50.14,9.03,5.65,0.11,0.58,1.104341203,A2O,39.9941159,116.3343273,8213.33,8213.33,12.559207650273224,2.0,94.9919549314817,82.34645599593345,32.28379927090304,15.7520895853261,2.9424032200911587,42774326389.0361,50322736928.27776,63274632728.74624,7430701.007003455,34648199.75,39597942.57
4,7,139.5943676,215278.94,413.82,14.57,169.95,1.04,185.53,2.5,39.22,0.37,49.9,10.52,5.07,0.15,0.48,1.202254227,A2O,39.83298,116.45573,8213.33,8213.33,12.559207650273224,2.0,83.17450251143684,79.90080167429393,34.99343116691288,10.776565102210917,2.376860448885627,36135971727.44197,42512907914.63761,53462734468.57772,8022689.321861343,29275357.65,33457551.6
5,11,12.6894756,2561.74,149.34,12.85,71.7,5.8,175.11,4.0,16.44,1.02,19.95,6.15,2.08,0.28,0.24,1.758370577,A2O,39.945213,116.418944,8213.33,8213.33,12.559207650273224,2.0,47.06817869481808,68.48253736787326,15.427449418106464,6.159066799839043,3.0509371587746967,1167290113.5713077,1373282486.5544798,1727902607.502871,729282.4355768639,946172.46,1081339.95
6,14,77.7213276,107172.61,578.98,13.13,281.18,1.03,330.11,2.5,35.61,0.37,51.62,9.19,8.69,0.11,0.45,0.795263762,A2O,40.057896,116.462308,8213.33,8213.33,12.559207650273224,2.0,98.82681235101111,82.93087630816072,28.94556494512016,18.71506614681225,3.4142298669375952,27463150857.636894,32309589244.278706,40623324885.639786,4466756.615883744,22244697.67,25422511.62
7,15,26.9301936,33365.79,429.33,20.13,202.71,2.96,284.32,3.21,43.63,0.31,51.56,14.57,5.35,0.32,0.23,0.562072336,A2O,39.839826,116.308629,8213.33,8213.33,12.559207650273224,2.0,84.59682651305793,80.29561723777562,39.19031728993206,10.175756841778458,2.15861550411052,7227045675.046334,8502406676.525098,10692189334.373371,1547717.0056707838,5854875.74,6691286.55
8,20,3.3562468,2880.76,251.44,7.92,101.34,4.06,100.99,6.58,16.89,0.79,27.95,8.4,1.82,0.3,0.4,1.642575558,A2O,39.750652,116.19926,8213.33,8213.33,12.559207650273224,2.0,64.83776979959676,74.2134227650347,14.74752932033298,12.684847126506932,4.39651743632762,527194833.4993231,620229215.8815566,780126211.7667942,192888.336591392,427184.92,488211.34
9,22,12.6952676,8894.79,113.65,10.03,37.61,2.52,178.02,3.88,19.94,0.46,28.28,8.11,2.94,0.18,0.58,5.597375024,A2O,39.793176,116.189968,8213.33,8213.33,12.559207650273224,2.0,44.38767251094687,60.94353496617082,19.32901684595761,3.0641080944954204,2.2964268107733536,780743349.7152283,918521587.9002688,1155963922.3067043,729615.3101573439,632987.77,723414.6
10,29,5.43,3114.0,148.06,17.7,65.62,8.76,110.14,4.17,15.06,2.89,19.75,8.61,1.6,0.38,0.21,1.610923596,A2O,40.0587899,116.5764355,8070.85,8070.8499999999985,12.948497267759562,2.0,46.8864764999621,68.33278637041597,14.058579041666562,6.64954155599893,3.335079339170823,494186937.2236069,581396396.7336553,731525607.4513848,312069.91919999995,400571.99,457796.56
11,31,5.8239284,6998.0,205.25,19.4,60.59,4.81,196.64,6.4,24.84,0.47,31.56,9.58,3.25,0.24,0.19,1.022329836,A2O,40.14796,116.55095,8213.33,8213.33,12.559207650273224,2.0,70.74085541943498,65.53429699418515,23.442194922156187,5.627234612897798,3.01767200786198,645511655.6235963,759425477.204231,955399187.2961148,334709.551604896,523161.66,597899.04
12,33,10.5704,10232.71,193.83,13.15,93.1,2.78,134.78,4.53,26.88,0.25,33.8,4.11,3.15,0.1,0.51,2.822669914,A2O,39.915848,116.728973,8070.85,8070.8499999999985,12.948497267759562,2.0,55.07189751591082,71.58752643248681,25.41259808105265,5.459084519893412,2.167110082182892,1284643251.4379728,1511345001.691733,1901383232.219782,607496.109376,1041167.73,1189905.98
13,34,2.2806724,129.91,72.04,18.7,36.66,5.18,45.47,10.89,14.67,2.27,20.02,11.25,1.93,0.47,0.27,5.061867267,A2O,39.83269,116.65978,8070.85,8070.8499999999985,12.948497267759562,2.0,28.54242984590062,60.379747576484434,14.345143824137969,2.214425193333546,1.9896928323488448,95386462.5149828,112219367.66468568,141272644.723948,131073.526996256,77358.69,88409.93
