Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp
2317,71,28.9692672,37970.05,748.6,18.32,320.73,4.48,581.68,2.67,30.2,0.61,64.28,7.09,13.59,0.16,0.44,0.602508627,Other,39.234636,117.1904376,7835.25,7835.249999999999,13.59221311
2318,88,1.2459316,432.24,203.25,25.77,96.65,8.7,95.31,12.69,25.72,1.84,28.43,12.38,2.19,0.63,0.25,1.408609421,Other,39.382254,117.201132,8049.47,8049.469999999999,13.00691256830601
2319,97,15.6874148,8813,192.41,19.97,108.44,2.39,196.08,1.83,22.69,1.05,27.91,7.27,2.45,0.04,0.38,2.203665043,Other,39.23895,117.77297,7835.25,7835.249999999999,13.59221311
2320,117,1.9587096,4916,738.06,28.54,347.64,8.51,894.82,7.35,71.82,1.94,95.36,14.14,11.67,0.18,0.48,0.676513699,Other,39.141544,116.65224,7860.05,7860.05,13.52445355191257
2321,158,2.8836196,372.11,107.71,16.82,48.88,5.04,86.63,8.48,14.33,1.14,18.32,9.57,2.52,0.33,0.15,1.650346573,Other,36.4625911,114.9490077,7054.92,7054.92,15.726475409836064
2322,222,4.285356,921.99,164.97,20.01,55.34,9.06,65.74,16.22,20.62,2.45,23.97,5.93,2.76,0.25,0.13,0.896799117,Other,39.892864,118.879079,8692.25,8692.25,11.25068306010929
2323,277,2.1966884,36,209.15,24.87,107.1,5.77,102.11,5.61,47.69,0.66,52.17,11.65,4.29,0.21,0.52,2.821792924,Other,38.9944579,116.1087888,7781.5,7781.5,13.739071038251366
2324,281,0.68056,275.16,71,15,27.3,0.5,37,5.1,11.17,0.09,16.6,11.6,1.5,0.3,0.34,6.071428571,Other,39.3217799,116.49904,7792.13,7792.129999999999,13.710027322404372
2325,370,5.792,2307,203.84,30.75,69.3,1.9,75.16,4.32,19.28,1.13,31.06,16.56,2.33,0.66,0.27,1.559882142,Other,35.48411,112.41903,8101.27,8101.27,12.865382513661205
2326,408,0.918032,166.5,141.75,17.94,58.12,6.67,108,6.4,17.84,1.09,20.34,12.48,1.44,0.38,0.32,2.584605444,Other,40.308143,110.057103,9542.68,9542.68,8.927103825136612
