Plant ID,Longitude,Latitude,Province,Annual_HDD,Treatment_process,Average_flow__MGD_,Sludgeield__tone__file2,CODinf,CODeff,BODinf,COD removal,TN removal,COD/BOD,COD/TN,BODeff,SSinf,SSeff,NH3_Ninf,NH3_Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),COD removal based EUI (kWh/kg COD removed),Current electricity consumption (kWh/a),Current heat consumption (kWh/a),Current electricity recovery potential (kWh/a),Current heat recovery potential (kWh/a),Current effective heat recovery potential (kWh/a),Recoverable energy density (kWh/m3),Current recovered heat waste,Efficiency score,Efficiency_Group,Optimal EUI (kWh/kg COD removed),Optimal EUI (kWh/m3),Energy gap,Selected_Process,Electricity recovery after selection (kWh/a),Heat recovery after selection (kWh/a),Electricity consumption after upgrade,Heat consumption after upgrade,Effective heat recovery after selection (kWh/a),Recoverable energy density after selection (kWh/m3),EUI (kWh/m3),EUI (kWH/kg COD removed),New efficiency score,Optimal EUI after selection (kWh/kg COD removed),Optimal EUI after selection (kWh/m3),Energy gap after selection
2849,104.93458,26.57182,Guizhou,7310.62,OD,24.8132176,7712,154.7,20.44,69.07,0.867873303,0.609116453,2.239756768,4.829847018,1.44,120.48,5.96,17.82,0.62,32.03,12.52,3.55,0.32,0.38,2.830329212,13100000,179000,1060000,1210000,179000,0.036139515,0.148,0.610020553,Inefficient,1.726558991,0.237028935,0.847531208,CEPT,1620000,1850000,7780436.534,1383732.344,1383732.344,0.087613746,0.267303164,1.990936723,0.433167519,0.862409121,0.115787049,0.243319986
2850,105.4684,26.2003899,Guizhou,6610.7,CAS,3.8613092,2224,179.09,17.65,96.63,0.9014462,0.653685092,1.85335817,7.49958124,5.51,197.89,1.04,16.64,1.4,23.88,8.27,4.33,0.35,0.56,3.468780971,3000000,46800,222000,254000,46800,0.050383552,0.184,0.210900644,Inefficient,0.731568141,0.126876497,0.602892942,Current,222000,254000,3000000,46800,46800,0.050383552,0.571088569,3.537466361,0.108519553,0.383884268,0.061974276,0.187024756
2851,106.96449,26.98528,Guizhou,6971.78,A2O,6.6065,5197.57,274.37,13.25,114.17,0.951707548,0.716301335,2.40317071,6.912824389,5.16,176.94,6.63,29.2,2.81,39.69,11.26,3.13,0.22,0.27,1.034007353,2490000,115000,454000,519000,115000,0.062335425,0.222,0.756979138,Inefficient,0.782721995,0.216982915,0.712717357,Current,454000,519000,2490000,115000,115000,0.062335425,0.285384505,1.092924727,0.686650974,0.750457828,0.195959548,0.681896463
2852,106.757642,25.42709,Guizhou,6090.36,OD,4.0140008,2212.5,184.43,13.64,80.83,0.926042401,0.711800819,2.281702338,6.290245566,6.44,161.93,4.36,21.99,0.92,29.32,8.45,1.62,0.18,0.5,2.927571872,2780000,42900,188000,215000,42900,0.041633275,0.199,0.346559994,Inefficient,1.01457929,0.18101524,0.770001269,CEPT,307000,351000,1594892.475,203429.1479,203429.1479,0.092034808,0.324253007,1.898547964,0.482683654,0.916398068,0.156511626,0.411961841
2853,106.70215,26.5018,Guizhou,7112.03,OD,8.3175292,3164.77,93.49,10.33,39.03,0.889506899,0.63683818,2.39533692,6.971662938,2.42,105.64,4.04,11.93,0.17,13.41,4.87,1.21,0.12,0.25,3.006253006,2890000,71600,192000,219000,71600,0.022937452,0.326,1,Efficient,3.006253006,0.256230355,0.910481129,Current,192000,219000,2890000,71600,71600,0.022937452,0.257706972,3.098929434,0.271233345,0.840532995,0.069898724,0.671847343
2854,106.61795,26.725126,Guizhou,7112.03,A2O,11.4329736,21809.76,209.57,12.1,127.24,0.942262728,0.773499434,1.647044954,7.911287278,1.17,165.42,1.67,18.46,0.44,26.49,6,3.29,0.16,0.45,2.278827164,7200000,493000,909000,1040000,493000,0.088752974,0.475,0.412731741,Inefficient,0.940544303,0.216938425,0.590884031,Current,909000,1040000,7200000,493000,493000,0.088752974,0.487001874,2.466206886,0.231701982,0.571425024,0.112839299,0.213456888
2855,106.7486614,26.4120855,Guizhou,7112.03,SBR,1.857784,1207,351.69,11.73,122.36,0.966646763,0.91055832,2.874223602,3.888225539,6.81,153.54,6.3,67.16,0.61,90.45,8.09,7.15,0.11,0.66,1.941404871,1700000,27300,135000,155000,27300,0.063229159,0.177,0.30250707,Inefficient,0.587288699,0.210290255,0.699324353,HRAS,307025.72,350886.54,1017664.749,50289.45306,50289.45306,0.13920356,0.416055733,1.223837314,0.53886498,0.65948307,0.224197864,0.379103989
2856,106.7141,26.5682199,Guizhou,7112.03,A2O,1.489992,127.5,63.49,7.97,47.66,0.87446842,0.758820127,1.332144356,3.672064777,2.05,25.31,2.03,8.29,0.19,17.29,4.17,1.88,0.19,0.44,7.925072046,906000,2880,42800,49000,2880,0.022188925,0.0589,0.053099744,Inefficient,0.420819297,0.024762839,0.103942606,CEPT,67200,76800,525771.1742,62782.33789,62782.33789,0.063138536,0.285888127,5.149281827,0.065153527,0.335493872,0.01862662,-2.389693719
2857,105.74561,26.30892,Guizhou,7304.18,OD,1.8817484,1258.9,171.2,20.97,67.9,0.877511682,0.67768595,2.521354934,5.240281604,4.67,109.78,11.26,25.21,0.91,32.67,10.53,2.04,0.48,0.13,0.865339812,343000,29300,75000,85700,29300,0.040115929,0.341,1,Efficient,0.865339812,0.141269384,0.716032392,CEPT,121000,138000,264536.6485,101887.7523,101887.7523,0.085727222,0.140934374,0.938124038,1.347881491,1.264480027,0.189962834,0.548715821
2858,106.646021,26.6818,Guizhou,7112.03,A2O,3.5017708,1440.84,145.69,7.18,27.14,0.950717276,0.451890034,5.368091378,8.344215349,1.55,224.95,6.57,15.13,0.62,17.46,9.57,2.29,0.39,0.43,3.104468991,2090000,32600,56500,64600,32600,0.018415524,0.505,0.402587632,Inefficient,1.24982082,0.179850573,0.89760653,Current,56500,64600,2090000,32600,32600,0.018415524,0.438706979,3.167330728,0.186678478,0.591272479,0.081897151,0.775138402
