Actual_EUI,Efficiency_Score
1.897474182,0.24249386545600565
1.010866818,0.48892654462429486
2.983999588,0.15084443959680147
1.104341203,0.19083947240835464
1.202254227,0.24154656276749314
1.758370577,0.5823973760943485
0.795263762,0.25554492322935
0.562072336,0.5443280419598968
1.642575558,0.33286150807920684
5.597375024,0.022689196933712703
1.610923596,0.7129456670407274
1.022329836,0.957601761711924
2.822669914,0.16572331128998377
5.061867267,0.07463706042160749
1.214083367,0.7036226395055896
5.08018727,0.04185994942505446
2.984406476,0.2582525867372792
3.96701117,0.10852034450495324
2.473935324,0.2868272440053393
1.567844926,0.28912765620147085
1.523809524,0.3429746974189868
2.680965147,0.1861201120933888
0.77052733,1.0
1.567114701,0.26886912537614666
1.823909799,0.43523860251517843
1.866207293,0.26027078293653105
2.38586536,0.28057956264987344
1.196612666,0.38971130496313366
0.557983818,0.9147413783828447
1.36480411,0.9616286409318143
1.552128397,0.23728420835039038
3.11302682,0.1627180013463733
1.319012625,0.7279388019044137
1.697854201,0.3681819959844729
2.244542955,0.3484250364990051
1.662356853,0.4305493039420831
5.042189751,0.04775776113412546
1.215449716,0.6565518944527196
2.693602694,0.34054535261751023
2.149740549,0.4242962287891652
1.44950044,0.569564475201372
1.511964239,0.6804576883015406
1.631389609,0.30982698515762314
1.979792463,0.38318822963575694
1.731940332,0.46801534238030706
7.367475292,0.006703092544993267
1.098961481,1.0
2.766798419,0.24980715505188023
1.924422673,0.6220489238100262
1.1653031,0.3494792888101535
1.588617212,0.3849165048561739
1.709514103,0.4538789950383939
2.085459467,0.26421304870661644
1.845457793,0.46629931942805236
7.153696076,0.010419618209616479
2.580645161,0.22330145977583588
4.666666667,0.06804288445088945
15.53980371,0.001
1.339743085,0.4451249371801888
2.650126868,0.24424852682924572
1.765816233,0.46423111906764236
1.52357736,0.36246709637045815
0.998183633,0.2704835840877664
1.194241818,0.5315697405396561
2.292719446,0.2615155671265846
3.337378641,0.10450411952187562
1.225547961,0.6385176654949257
2.443920747,0.1779940484435543
3.880190606,0.06691664589650398
1.36230502,0.9665531405392616
2.160916228,0.467409305700586
1.024690153,0.9066629278285911
4.207081921,0.10576236399991659
1.906742936,0.8743153565820856
1.642735459,0.510018290056456
0.689536287,0.5708541518718921
7.158590308,0.009427707249281771
1.365933616,0.32384801548056863
1.338688086,0.5023396746226603
2.072281167,0.5210963655370794
1.171875,0.46774557559719876
2.406838742,0.3700857401745881
2.010723861,0.7154357737040323
2.256564551,0.3307143318146869
2.096010818,0.43543317195461684
1.521041068,0.302711771929672
0.78976465,0.595633393448827
3.12,0.22268465725793588
1.28217773,0.6094497789361456
7.818052594,0.009222461594891792
1.924927815,0.5969354391418427
1.855717931,0.5561941080674254
3.824904377,0.1868300280658679
2.645290581,0.25315386764013414
1.798955728,0.4783265354215829
3.326016098,0.11893701361186751
1.356292016,0.6580028706776243
4.748338082,0.06007286775594995
2.050440845,0.5941222991481819
3.373175918,0.15276503201120634
1.312975954,0.5973362148483785
2.122404878,0.21333938600386948
11.38249941,0.001
2.103652706,0.4319988860126772
2.64713668,0.14855570727210915
